AÑO,MUNICIPIO,DEPARTAMENTO,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2023,Betania,Antioquia,Antioquia (ETC),2143,64.54,64.54,52.98,63.43,48.09,27.73,70.18,60.71,80.7,70.77,47.34,6.27,4.9,7.56,5.98,1.99,88.22,86.27,87.18,96.03,5.51,0.0,6.16,6.84,1.99,8.08,1.96,11.47,6.62,0.66
2023,Betulia,Antioquia,Antioquia (ETC),3444,79.07,79.07,69.68,80.77,66.41,37.15,86.96,82.31,92.89,91.75,64.44,3.42,1.75,1.73,5.94,3.97,92.39,93.02,89.45,94.7,4.19,0.0,5.25,4.61,1.32,10.32,0.0,9.68,16.19,1.99
2023,Ciudad Bolívar,Antioquia,Antioquia (ETC),4906,77.01,76.99,62.02,71.85,65.29,39.93,90.11,80.36,87.84,99.16,81.93,8.02,6.71,5.26,12.78,4.51,83.48,87.17,74.67,90.74,8.5,0.35,7.56,12.56,4.74,15.24,4.59,13.73,22.17,6.32
2023,Buriticá,Antioquia,Antioquia (ETC),2080,80.24,80.24,61.96,77.47,65.19,30.06,88.03,76.63,95.29,95.28,59.51,6.89,2.13,5.53,10.12,6.13,85.15,88.94,75.62,89.57,7.97,0.0,5.53,14.26,4.29,12.24,0.71,12.47,16.75,4.29
2023,Cáceres,Antioquia,Antioquia (ETC),8010,82.3,82.3,49.11,75.34,65.96,38.38,95.93,77.99,99.69,104.46,77.27,5.66,3.0,4.99,7.66,4.65,86.28,85.28,83.74,90.84,8.06,0.0,9.72,8.6,4.5,11.9,2.29,15.62,11.02,3.9
2023,Caicedo,Antioquia,Antioquia (ETC),1821,82.43,82.43,64.78,76.09,70.81,45.83,96.71,78.62,87.53,114.26,95.14,3.78,3.2,3.38,5.23,1.49,90.72,91.04,86.85,96.52,5.51,0.0,5.58,7.93,1.99,7.49,0.0,12.19,5.95,0.5
2023,Campamento,Antioquia,Antioquia (ETC),2217,65.4,65.4,43.68,63.08,50.2,30.58,73.21,55.75,79.48,75.76,60.33,2.6,1.03,1.78,4.95,0.0,90.45,88.39,88.57,100.0,6.95,1.03,9.84,6.48,0.0,9.94,1.03,13.39,9.71,1.62
2023,Cañasgordas,Antioquia,Antioquia (ETC),3155,83.14,83.14,57.48,77.79,71.75,49.23,91.28,64.96,90.6,102.45,83.08,4.89,3.64,4.18,7.04,1.88,89.9,91.72,84.34,96.25,5.22,0.0,4.1,8.62,1.88,8.24,2.42,8.28,11.6,1.61
2023,Caracolí,Antioquia,Antioquia (ETC),765,86.01,86.01,52.94,77.74,81.2,50.42,101.57,58.82,92.68,128.4,94.12,5.9,2.5,5.7,7.92,2.17,89.78,88.59,88.3,94.57,4.32,0.0,5.7,3.77,3.26,8.35,2.5,13.42,5.66,2.17
2023,Caramanta,Antioquia,Antioquia (ETC),759,81.42,81.42,56.14,72.93,78.52,53.79,86.56,70.18,89.49,89.06,81.82,3.05,2.5,2.14,4.39,2.8,93.9,92.88,94.3,94.39,3.05,0.0,4.98,1.32,2.8,5.78,2.5,8.54,4.39,2.78
